# log10_lower_bound	log10_upper_bound	count
-3.247300103906950675e+00	-3.178748301703043122e+00	7.100000000000000000e+01
-3.178748301703043122e+00	-3.110196499499135570e+00	7.580000000000000000e+02
-3.110196499499135570e+00	-3.041644697295227573e+00	3.366000000000000000e+03
-3.041644697295227573e+00	-2.973092895091320020e+00	6.937000000000000000e+03
-2.973092895091320020e+00	-2.904541092887412468e+00	1.008200000000000000e+04
-2.904541092887412468e+00	-2.835989290683504915e+00	1.012000000000000000e+04
-2.835989290683504915e+00	-2.767437488479597363e+00	8.585000000000000000e+03
-2.767437488479597363e+00	-2.698885686275689366e+00	6.175000000000000000e+03
-2.698885686275689366e+00	-2.630333884071781814e+00	3.999000000000000000e+03
-2.630333884071781814e+00	-2.561782081867874261e+00	2.233000000000000000e+03
-2.561782081867874261e+00	-2.493230279663966709e+00	9.710000000000000000e+02
-2.493230279663966709e+00	-2.424678477460059156e+00	4.330000000000000000e+02
-2.424678477460059156e+00	-2.356126675256151159e+00	1.650000000000000000e+02
-2.356126675256151159e+00	-2.287574873052244051e+00	6.200000000000000000e+01
-2.287574873052244051e+00	-2.219023070848336054e+00	1.900000000000000000e+01
-2.219023070848336054e+00	-2.150471268644428502e+00	1.300000000000000000e+01
-2.150471268644428502e+00	-2.081919466440520949e+00	5.000000000000000000e+00
-2.081919466440520949e+00	-2.013367664236612953e+00	5.000000000000000000e+00
-2.013367664236612953e+00	-1.944815862032705622e+00	0.000000000000000000e+00
-1.944815862032705622e+00	-1.876264059828797848e+00	1.000000000000000000e+00
